Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",CAPC2012X145N,4,68nF,
C5,0201,1,220pF,
C6,0201,1,10nF,
C7,0201,1,0.1uF,
C8,0201,1,22nF,
C9,0201,1,1nF,
D1,RF081MM2STR,1,RF081MM2STR,
"IC1, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC18, IC19, IC2, IC20, IC21, IC22, IC23, IC24, IC25, IC26, IC27, IC28, IC29, IC3, IC30, IC31, IC32, IC4, IC5, IC6, IC7, IC8, IC9",SOP254P700X220-4N,32,"TLP188_TPL,E",
IC33,SOIC127P599X175-8N,1,LT1013DS8#TRPBF,
"J1, J11, J12, J14, J3, J5, J6, J8, J9",Molex_200528-0070_1x07-1MP_P1.00mm_Horizontal,9,Conn_01x07_Pin,
"J10, J15, J2, J4, J7",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04_Pin,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
JP2,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,1,Jumper_3_Open,
Q1,SOT95P280X100-3N,1,RQ5E030AJTCL,
Q2,SOT-23,1,DMN24H11DS,
"Q3, Q4, Q5",SOT96P237X111-3N,3,MMBTA92LT1G,
R1,0201,1,100k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41",0201,32,470,
"R2, R4",0201,2,22,
R3,0201,1,47k,
R42,0201,1,"3,3k",
R43,0201,1,10k,
R44,0201,1,1k,
"R45, R5",0201,2,1M,
R46,0201,1,25k,
R47,0201,1,100,
R6,0201,1,6.8k,
R7,0201,1,0.02,
R8,0201,1,16k,
R9,0201,1,130k(100kHz) or 41.2k(300kHz),
T1,ATB3225150110T000,1,ATB322515-0110-T000,
U1,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3757AEMSE,
U2,XIAO-nRF52840-Sense-14P-2.54-21X17.8MM)_onlyPins,1,SeeeduinoXIAO_onlyPinHeader,
"U3, U4, U5, U6",SOP65P640X110-16N,4,74AHCT595,
