Designator,Footprint,Quantity,Value,LCSC Part #,,,,
"C1, C18",0402,2,1nF,C1523,,,,
C10,0402,1,220pF,C1530,,,,
"C11, C12, C13, C14",0805,4,100nF,C5331016,,,,
"C15, C16",0402,2,100nF,C9900048290,,,,
C17,0402,1,10uF,C408132,,,,
"C19, C20",0603,2,4.7uF,C19666,,,,
"C2, C22, C23, C3, C4, C8",1206,6,47uF,C76659,,,,
C21,0402,1,120pF,C695379,,,,
C5,0402,1,0.1uF,C1525,,,,
C6,0402,1,22nF,C1532,,,,
C7,0402,1,100pF,C1546,,,,
C9,0402,1,10nF,C15195,,,,
D1,RF081MM2STR,1,RF081MM2STR,C509966,,,,
D2,SOD2512X110N,1,NSVR1020MW2T1G,C893984,,,,
"IC1, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC18, IC19, IC2, IC20, IC21, IC22, IC23, IC24, IC3, IC4, IC5, IC6, IC7, IC8, IC9",SOP254P700X220-4N,24,"TLP188_TPL,E",C4153840,,,,
IC25,SOIC127P600X175-8N,1,DAC8830ID,C42816,,,,
IC26,SOP65P640X120-14N,1,OPA4205APWT,C20345595,,,,
J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_Pin,C189893,,,,
"J10, J8, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,,,,,
"J11, J12, J13, J2, J3, J4, J5, J6, J7",Molex_200528-0070_1x07-1MP_P1.00mm_Horizontal,9,Conn_01x07_Pin,C6369987,,,,
JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,,,,,
L1,1008,1,4.7uH,C668313,,,,
L2,1008,1,1uH,C435392,,,,
Q1,SOT95P280X100-3N,1,RSR030N06TL,C126317,,,,
"Q2, Q4, Q5",SOT96P237X111-3N,3,MMBTA92LT1G,C82049,,,,
Q3,SOT-23,1,DMN30H4D0L,C461015,,,,
"R1, R2, R29, R49",0402,4,100k,C25741,,,,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R4, R5, R6, R7, R8, R9",0402,24,330,C25104,,,,
R28,0402,1,130k(100kHz),C409851,,,,
R3,0402,1,2k,C4109,,,,
R30,0402,1,240k,C413113,,,,
R31,0402,1,6.8k,C409870,,,,
"R32, R34, R47",0402,3,22,C413049,,,,
R33,0603,1,0.02,C2088537,,,,
"R35, R36, R37",0402,3,499k, C2986233,,,,
R38,0402,1,16k,C409889,,,,
R39,0402,1,300k,C131560,,,,
R40,0402,1,200k,C131534,,,,
R41,0402,1,1k,C445596,,,,
R42,0402,1,1k3,C336808,,,,
R43,0402,1,100, C491157,,,,
R44,0402,1,1M,C413126,,,,
R45,0402,1,30k,C413010,,,,
R46,0402,1,100,C25077,,,,
R48,0402,1,453k,C27009,,,,
R50,0402,1,499k,C25793,,,,
T1,ATB3225150110T000,1,ATB322515-0110-T000,C415291,,,,
U1,SOT-23-5,1,MCP73812T-420I-OT,C144308,,,,
U2,XIAO-nRF52840-Sense-14P-2.54-21X17.8MM)_onlyPins,1,SeeeduinoXIAO_onlyPinHeader,,,,,
"U3, U4, U5",SOP65P640X110-16N,3,74AHCT595,C554707,,,,
U6,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3757AEMSE,C671465,,,,
U7,SOTFL50P160X60-6N,1,XPS62A01DRLR,C5157937,,,,
U8,SOT-23-5,1,TPS613222ADBV,C2071163,,,,
,,,,,,,,
ffc calble,7pin pitch1mm 30mm,,0152670745,,,Molex,0152670745,https://www.digikey.com/en/products/detail/molex/0152670745/4427495
ffc calble,7pin pitch1mm 50mm,,0152670747,,,Molex,0152670747,https://www.digikey.com/en/products/detail/molex/0152670747/4427497
ffc calble,7pin pitch1mm 70mm,,0151670749,,,Molex,0151670749,https://www.digikey.com/en/products/detail/molex/0151670749/4426466
ffc calble,7pin pitch1mm 76mm,,10-07-A-0076-C-4-08-4-T,,,GCT,10-07-A-0076-C-4-08-4-T,https://www.digikey.jp/ja/products/detail/gct/10-07-A-0076-C-4-08-4-T/22247725
ffc calble,7pin pitch1mm 50mm,,10-07-A-0050-C-4-08-4-T,,,GCT,10-07-A-0050-C-4-08-4-T,https://www.digikey.jp/ja/products/detail/gct/10-07-A-0050-C-4-08-4-T/22247681
ffc calble,7pin pitch1mm 152mm,,10-07-A-0152-C-4-08-4-T,,,GCT,10-07-A-0152-C-4-08-4-T,https://www.digikey.jp/ja/products/detail/gct/10-07-A-0152-C-4-08-4-T/22247734
ffc calble,7pin pitch1mm 100mm,,10-07-A-0101-C-4-08-4-T,,,GCT,10-07-A-0101-C-4-08-4-T,https://www.digikey.jp/ja/products/detail/gct/10-07-A-0101-C-4-08-4-T/22247600
,,,,,,,,
battery,,,,,,,,https://www.amazon.com/gp/product/B09WK78594/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
,,,DTP401525(EZ3),,,,,https://www.marutsu.co.jp/pc/i/2228265/
J1,,,SM02B-SRSS-TB,,,,SM02B-SRSS-TB,https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM02B-SRSS-TB/926708
J1 housing,,,SHR-02V-S-B,,,,SHR-02V-S-B,https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SHR-02V-S-B/759866
