Designator,Mid X,Mid Y,Rotation,Layer
C1,94.025,-93.775,270.0,top
C10,83.2072,-83.14,0.0,top
C11,92.5,-78.0,90.0,top
C12,92.5,-81.4,270.0,top
C13,90.5,-81.4,270.0,top
C14,90.5,-78.0,90.0,top
C15,111.125,-97.225,0.0,top
C16,121.2,-100.5,180.0,top
C17,121.2,-99.55,180.0,top
C18,117.0,-92.75,270.0,top
C19,97.0,-99.0,90.0,top
C2,82.45,-88.3125,180.0,top
C20,89.475,-99.025,90.0,top
C21,85.29,-95.0125,90.0,top
C22,82.4375,-92.99,180.0,top
C23,92.3798,-94.107,90.0,top
C3,87.1,-90.2,0.0,top
C4,82.4375,-90.65,180.0,top
C5,92.5,-85.1,0.0,top
C6,90.4,-89.15,180.0,top
C7,89.9,-87.7,270.0,top
C8,87.1,-87.9,0.0,top
C9,86.95,-82.35,0.0,top
D1,86.55,-78.0,270.0,top
D2,82.2,-97.9,270.0,top
IC1,129.2,-84.0,180.0,bottom
IC10,149.556,-78.994,180.0,bottom
IC11,149.556,-94.994,180.0,bottom
IC12,149.556,-89.994,180.0,bottom
IC13,159.056,-89.994,0.0,bottom
IC14,159.056,-94.994,0.0,bottom
IC15,159.056,-78.994,0.0,bottom
IC16,159.056,-83.994,0.0,bottom
IC17,169.8506,-84.0194,180.0,bottom
IC18,169.8506,-79.0194,180.0,bottom
IC19,169.8506,-95.0194,180.0,bottom
IC2,129.2,-79.0,180.0,bottom
IC20,169.8506,-90.0194,180.0,bottom
IC21,179.3506,-90.0194,0.0,bottom
IC22,179.3506,-95.0194,0.0,bottom
IC23,179.3506,-79.0194,0.0,bottom
IC24,179.3506,-84.0194,0.0,bottom
IC25,113.695,-91.561,90.0,top
IC26,116.25,-98.5,0.0,top
IC3,129.2,-95.0,180.0,bottom
IC4,129.2,-90.0,180.0,bottom
IC5,138.7,-90.0,0.0,bottom
IC6,138.7,-95.0,0.0,bottom
IC7,138.7,-79.0,0.0,bottom
IC8,138.7,-84.0,0.0,bottom
IC9,149.556,-83.994,180.0,bottom
J1,96.2406,-97.9932,0.0,bottom
J10,174.488,-99.8474,90.0,top
J11,138.8244,-83.4986,90.0,top
J12,159.1698,-83.4986,90.0,top
J13,179.4644,-83.524,90.0,top
J2,95.66,-83.5,90.0,top
J3,106.25,-83.5,270.0,top
J4,118.5044,-83.4986,90.0,top
J5,129.1336,-83.5,270.0,top
J6,149.491,-83.4986,270.0,top
J7,169.7856,-83.4926,270.0,top
J8,133.975,-99.822,90.0,top
J9,154.1934,-99.822,90.0,top
L1,86.75,-99.15,180.0,top
L2,92.583,-98.552,90.0,top
Q1,81.48,-85.36,180.0,top
Q2,104.95,-95.25,90.0,top
Q3,108.625,-99.425,0.0,top
Q4,108.9,-94.65,180.0,top
Q5,104.9,-99.2,270.0,top
R1,92.7,-91.2,180.0,top
R10,137.414,-92.1125,270.0,top
R11,138.7856,-92.1004,270.0,top
R12,150.9374,-92.1065,270.0,top
R13,149.4642,-92.1198,270.0,top
R14,150.9374,-96.514,270.0,top
R15,149.642,-96.514,270.0,top
R16,159.167,-96.514,270.0,top
R17,157.7954,-96.514,270.0,top
R18,157.77,-92.1065,270.0,top
R19,159.1416,-92.0944,270.0,top
R2,92.7,-90.2,180.0,top
R20,171.232,-92.1319,270.0,top
R21,169.7588,-92.1452,270.0,top
R22,171.232,-96.5394,270.0,top
R23,169.9366,-96.5394,270.0,top
R24,179.4616,-96.5394,270.0,top
R25,178.09,-96.5394,270.0,top
R26,178.0646,-92.1319,270.0,top
R27,179.4362,-92.1198,270.0,top
R28,92.5,-84.1,180.0,top
R29,86.1912,-92.9,0.0,top
R3,98.475,-93.825,90.0,top
R30,87.1,-91.9,0.0,top
R31,90.9,-87.7,270.0,top
R32,85.05,-82.4,0.0,top
R33,85.4964,-81.0514,180.0,top
R34,81.0228,-83.14,0.0,top
R35,92.7,-86.1,0.0,top
R36,92.7,-87.1,180.0,top
R37,92.7,-88.1,0.0,top
R38,92.7,-89.1,0.0,top
R39,119.75,-92.29,90.0,top
R4,130.5814,-92.1125,270.0,top
R40,119.75,-94.24,270.0,top
R41,103.85,-91.35,180.0,top
R42,111.025,-98.65,90.0,top
R43,106.125,-91.35,0.0,top
R44,106.8,-92.3,180.0,top
R45,104.9,-92.3,180.0,top
R46,117.0,-94.7,90.0,top
R47,84.35,-95.9025,270.0,top
R48,96.0,-95.95,0.0,top
R49,96.025,-96.975,0.0,top
R5,129.1082,-92.1258,270.0,top
R50,94.55,-96.475,90.0,top
R6,130.5814,-96.52,270.0,top
R7,129.286,-96.52,270.0,top
R8,138.811,-96.52,270.0,top
R9,137.4394,-96.52,270.0,top
T1,81.35,-79.6,270.0,top
U1,96.2,-93.1,90.0,top
U2,112.377,-88.212015,0.0,bottom
U3,133.9967,-93.7514,90.0,top
U4,154.3527,-93.7454,90.0,top
U5,174.6473,-93.7708,90.0,top
U6,87.9738,-84.97,90.0,top
U7,95.2113,-98.7044,90.0,top
U8,87.8125,-95.2875,0.0,top
